Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #
11,19.99,90750,92,2014,1908
12,19.99,5684,77,2017,635
14,9.99,2160,83,2015,48
15,39.99,20737,92,2019,376
16,59.98,1472,76,2023,270
17,24.99,22280,96,2021,333
18,69.99,12099,86,2023,812
19,15.99,26841,91,2019,879
20,39.99,4529,81,2021,44
21,29.99,80563,95,2022,1508
22,14.99,68886,95,2017,956
23,19.99,2878,91,2023,131
24,24.99,17038,93,2019,336
25,14.99,17490,71,2009,96
26,29.99,669,76,2021,95
27,69.99,5567,38,2023,280
28,19.99,29401,88,2019,551
29,29.99,1213,73,2020,76
30,69.99,22691,63,2022,1583
31,39.99,1202,70,2022,61
32,39.99,6066,92,2020,91
33,19.99,43881,91,2017,173
34,0,5444,69,2023,167
35,34.99,2930,72,2021,36
36,29.99,6322,82,2013,83
37,24.99,1088,96,2023,198
38,49.99,1217,72,2021,28
39,69.99,85567,84,2019,3982
40,29.99,31300,94,2011,151
41,14.99,2335,82,2020,65
42,19.99,1607,76,2021,14
43,17.99,11446,87,2023,570
44,42.99,141,79,2023,16
45,59.99,490,62,2023,15
46,29.99,26782,87,2018,121
47,24.99,4069,93,2020,21
1,59.99,583836,92,2022,12340
2,59.99,513631,96,2023,19670
4,39.99,254844,88,2018,3316
5,29.99,36591,86,2024,16544
6,59.99,24612,91,2024,18657
7,39.99,58746,81,2022,927
8,9.99,53223,76,2017,578
9,0,198377,71,2022,730
10,0,70309,75,2022,1555
11,19.99,65856,88,2014,538
12,19.99,118224,83,2014,656
13,24.99,63087,94,2022,2044
14,49.99,9748,81,2023,269
15,59.99,19854,61,2023,545
16,59.99,67787,61,2022,794
17,69.99,19402,89,2022,1216
18,39.99,8414,93,2023,404
19,59.99,11894,75,2022,384
20,0,8619,66,2023,642
21,0,356868,82,2017,3512
22,0,22753,71,2020,127
23,24.99,13283,88,2023,259
24,0,4218,70,2024,539
25,0,14779,88,2022,446
26,24.99,8208,70,2023,254
27,39.99,155700,93,2016,2543
28,59.99,184502,92,2023,2717
29,39.99,233675,70,2021,730
30,0,115755,79,706,2015
31,69.99,13533,68,2023,1271
32,59.99,196100,95,2019,2342
33,0,23043,83,2020,203
34,0,13318,78,2020,83
35,29.99,76929,84,2018,327
36,49.99,9854,75,2023,663
37,19.99,377853,94,2021,2787
38,0,217095,88,2013,1170
39,0,8125,67,2016,0
40,59.99,239844,94,2016,2728
41,59.99,23571,92,2023,1469
42,49.99,1354,86,2024,1354
43,24.99,31685,90,2019,592
44,0,2270,60,2019,22
45,39.99,10338,81,2021,43
46,14.99,481,87,2024,117
1,0,565710,87,2013,5658
2,29.99,221338,97,2020,3914
3,59.99,100618,85,2020,1045
4,0,584667,80,2019,3399
5,59.99,11859,75,2022,387
6,19.99,187219,95,2012,753
7,24.99,11146,95,2023,617
8,24.99,178359,96,2020,2082
9,24.99,5922,79,2023,359
10,0,40186,77,2022,1859
11,24.99,203,72,2024,203
